Epoch: 88/5000 | Train loss: 3.2803 | Val loss: 3.2794 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:05
Epoch: 89/5000 | Train loss: 3.2892 | Val loss: 3.2939 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:05
Epoch: 90/5000 | Train loss: 3.2705 | Val loss: 3.2547 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:09:58
Epoch: 91/5000 | Train loss: 3.2557 | Val loss: 3.2632 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:09:52
Epoch: 92/5000 | Train loss: 3.2583 | Val loss: 3.2362 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:09:46
Epoch: 93/5000 | Train loss: 3.2500 | Val loss: 3.2439 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:09:45
Epoch: 94/5000 | Train loss: 3.2492 | Val loss: 3.2563 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:10:07
Epoch: 95/5000 | Train loss: 3.2433 | Val loss: 3.2421 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:10:16
Epoch: 96/5000 | Train loss: 3.2412 | Val loss: 3.2388 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:10:39
Epoch: 97/5000 | Train loss: 3.2448 | Val loss: 3.2600 | Best loss: 3.2362 | Time for epoch: 0:00:05 | ETA: 7:10:57
Epoch: 98/5000 | Train loss: 3.2524 | Val loss: 3.2398 | Best loss: 3.2362 | Time for epoch: 0:00:06 | ETA: 7:11:47
Epoch: 99/5000 | Train loss: 3.2485 | Val loss: 3.2249 | Best loss: 3.2249 | Time for epoch: 0:00:07 | ETA: 7:13:23
Epoch: 100/5000 | Train loss: 3.2443 | Val loss: 3.2508 | Best loss: 3.2249 | Time for epoch: 0:00:07 | ETA: 7:14:57
Epoch: 101/5000 | Train loss: 3.2368 | Val loss: 3.2478 | Best loss: 3.2249 | Time for epoch: 0:00:07 | ETA: 7:16:41
Epoch: 102/5000 | Train loss: 3.2452 | Val loss: 3.2411 | Best loss: 3.2249 | Time for epoch: 0:00:07 | ETA: 7:18:07
Epoch: 103/5000 | Train loss: 3.2343 | Val loss: 3.2431 | Best loss: 3.2249 | Time for epoch: 0:00:06 | ETA: 7:18:57
Epoch: 104/5000 | Train loss: 3.2331 | Val loss: 3.2394 | Best loss: 3.2249 | Time for epoch: 0:00:07 | ETA: 7:20:16
Epoch: 105/5000 | Train loss: 3.2471 | Val loss: 3.2187 | Best loss: 3.2187 | Time for epoch: 0:00:07 | ETA: 7:21:54
Epoch: 106/5000 | Train loss: 3.2413 | Val loss: 3.2522 | Best loss: 3.2187 | Time for epoch: 0:00:07 | ETA: 7:23:15
Epoch: 107/5000 | Train loss: 3.2574 | Val loss: 3.2437 | Best loss: 3.2187 | Time for epoch: 0:00:08 | ETA: 7:25:11
Epoch: 108/5000 | Train loss: 3.2487 | Val loss: 3.2434 | Best loss: 3.2187 | Time for epoch: 0:00:07 | ETA: 7:26:52
Epoch: 109/5000 | Train loss: 3.2384 | Val loss: 3.2323 | Best loss: 3.2187 | Time for epoch: 0:00:07 | ETA: 7:28:02
Epoch: 110/5000 | Train loss: 3.2331 | Val loss: 3.2308 | Best loss: 3.2187 | Time for epoch: 0:00:06 | ETA: 7:28:58
Epoch: 111/5000 | Train loss: 3.2247 | Val loss: 3.2225 | Best loss: 3.2187 | Time for epoch: 0:00:06 | ETA: 7:29:55
Epoch: 112/5000 | Train loss: 3.2230 | Val loss: 3.2239 | Best loss: 3.2187 | Time for epoch: 0:00:07 | ETA: 7:31:07
Epoch: 113/5000 | Train loss: 3.2233 | Val loss: 3.2179 | Best loss: 3.2179 | Time for epoch: 0:00:08 | ETA: 7:33:05
Epoch: 114/5000 | Train loss: 3.2253 | Val loss: 3.2147 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:34:17
Epoch: 115/5000 | Train loss: 3.2237 | Val loss: 3.2245 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:35:39
Epoch: 116/5000 | Train loss: 3.2329 | Val loss: 3.2504 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:36:41
Epoch: 117/5000 | Train loss: 3.2434 | Val loss: 3.2523 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:38:08
Epoch: 118/5000 | Train loss: 3.2405 | Val loss: 3.2561 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:39:35
Epoch: 119/5000 | Train loss: 3.2414 | Val loss: 3.2414 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:40:50
Epoch: 120/5000 | Train loss: 3.2286 | Val loss: 3.2179 | Best loss: 3.2147 | Time for epoch: 0:00:07 | ETA: 7:41:54
Epoch: 1/5000 | Train loss: 5.2172 | Val loss: 5.2172 | Best loss: 5.2172 | Time for epoch: 0:00:02 | ETA: 3:36:12
Epoch: 2/5000 | Train loss: 5.2157 | Val loss: 5.2123 | Best loss: 5.2123 | Time for epoch: 0:00:02 | ETA: 3:30:14
Epoch: 3/5000 | Train loss: 5.2137 | Val loss: 5.2106 | Best loss: 5.2106 | Time for epoch: 0:00:02 | ETA: 3:28:47
Epoch: 4/5000 | Train loss: 5.2107 | Val loss: 5.1962 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:27:17
Epoch: 5/5000 | Train loss: 5.2084 | Val loss: 5.2140 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:27:08
Epoch: 6/5000 | Train loss: 5.2090 | Val loss: 5.2159 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:26:43
Epoch: 7/5000 | Train loss: 5.2073 | Val loss: 5.2041 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:26:27
Epoch: 8/5000 | Train loss: 5.2076 | Val loss: 5.2135 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:26:13
Epoch: 9/5000 | Train loss: 5.2036 | Val loss: 5.2069 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:26:00
Epoch: 10/5000 | Train loss: 5.2045 | Val loss: 5.2011 | Best loss: 5.1962 | Time for epoch: 0:00:02 | ETA: 3:26:03
Epoch: 11/5000 | Train loss: 5.1979 | Val loss: 5.1888 | Best loss: 5.1888 | Time for epoch: 0:00:02 | ETA: 3:25:59
Epoch: 12/5000 | Train loss: 5.1643 | Val loss: 5.0660 | Best loss: 5.0660 | Time for epoch: 0:00:02 | ETA: 3:25:50
Epoch: 13/5000 | Train loss: 5.0298 | Val loss: 4.9966 | Best loss: 4.9966 | Time for epoch: 0:00:02 | ETA: 3:25:40
Epoch: 14/5000 | Train loss: 4.9986 | Val loss: 5.0005 | Best loss: 4.9966 | Time for epoch: 0:00:02 | ETA: 3:25:45
Epoch: 15/5000 | Train loss: 4.9881 | Val loss: 4.9882 | Best loss: 4.9882 | Time for epoch: 0:00:02 | ETA: 3:25:51
Epoch: 16/5000 | Train loss: 4.9815 | Val loss: 4.9798 | Best loss: 4.9798 | Time for epoch: 0:00:02 | ETA: 3:25:51
Epoch: 17/5000 | Train loss: 4.9756 | Val loss: 4.9774 | Best loss: 4.9774 | Time for epoch: 0:00:02 | ETA: 3:25:47
Epoch: 18/5000 | Train loss: 4.9720 | Val loss: 4.9697 | Best loss: 4.9697 | Time for epoch: 0:00:02 | ETA: 3:25:43
Epoch: 19/5000 | Train loss: 4.9666 | Val loss: 4.9719 | Best loss: 4.9697 | Time for epoch: 0:00:02 | ETA: 3:25:46
Epoch: 20/5000 | Train loss: 4.9645 | Val loss: 4.9648 | Best loss: 4.9648 | Time for epoch: 0:00:02 | ETA: 3:25:37
